Vardi,Dzimums,Skaits
"ABHISHEK RAMESHWAR","VĪRIETIS",1
"ABHISHEKH","VĪRIETIS",1
"ABHIT","VĪRIETIS",1
"ABHITH SHARON","VĪRIETIS",1
"ABHIUDAY","VĪRIETIS",1
"ABHY MATHEW","VĪRIETIS",1
"ABHYUDAY","VĪRIETIS",1
"ABI","VĪRIETIS",2
"ABI KRISHNA","VĪRIETIS",1
"ABID MUKTHAR OTTAKKANDATHIL","VĪRIETIS",1
"ABIDA","SIEVIETE",2
"ABIDA YASMEEN","SIEVIETE",1
"ABIGAIL","SIEVIETE",1
"ABIGAIL ELIZABETH LANE","SIEVIETE",1
"ABIGAIL EVIE","SIEVIETE",1
"ABIGAIL HARRISON","SIEVIETE",1
"ABIGAIL PAIGE","SIEVIETE",1
"ABIGAILA","SIEVIETE",16
"ABIGAILA AMALIA","SIEVIETE",1
"ABIGAILA ANGELIKA","SIEVIETE",1
"ABIGAILA ESTERE","SIEVIETE",1
"ABIGAILA HĪTERE","SIEVIETE",1
"ABIGAILA KAMĒLIJA","SIEVIETE",1
"ABIGAILA MONISOLA","SIEVIETE",1
"ABIGAILA OLIVIJA","SIEVIETE",1
"ABIGAILA SINTIJA","SIEVIETE",1
"ABIGAILA VALENTĪNA","SIEVIETE",1
"ABIGAILE RENĒ","SIEVIETE",1
"ABIGAILS","VĪRIETIS",1
"ABIGEILA","SIEVIETE",40
"ABIGEILA ALDONA","SIEVIETE",1
"ABIGEILA ANNA","SIEVIETE",1
"ABIGEILA ARABELLA","SIEVIETE",1
"ABIGEILA DEVONA","SIEVIETE",1
"ABIGEILA DŽORDŽĪNA","SIEVIETE",1
"ABIGEILA ELIZABETE","SIEVIETE",3
"ABIGEILA EMĪLIJA DAFNE","SIEVIETE",1
"ABIGEILA EVA","SIEVIETE",1
"ABIGEILA FEITA","SIEVIETE",1
"ABIGEILA FEČI","SIEVIETE",1
"ABIGEILA FRANČESKA","SIEVIETE",1
"ABIGEILA GREISA","SIEVIETE",2
"ABIGEILA IEVA","SIEVIETE",1
"ABIGEILA KATE","SIEVIETE",1
"ABIGEILA LEILA","SIEVIETE",1
"ABIGEILA MADARA","SIEVIETE",1
"ABIGEILA MARIJA","SIEVIETE",1
"ABIGEILA ODRIJA","SIEVIETE",1
"ABIGEILA PATRĪCIJA","SIEVIETE",1
"ABIGEILA PEIŠENSA","SIEVIETE",1
"ABIGEILA PLOSE","SIEVIETE",1
"ABIGEILA ROUZA","SIEVIETE",1
"ABIGEILA SOFIA","SIEVIETE",1
"ABIGEILA VENDIJA","SIEVIETE",1
"ABIGEILA ČIŅERE","SIEVIETE",1
"ABIHA","SIEVIETE",2
"ABIJA","SIEVIETE",6
"ABIJA ESTERE","SIEVIETE",1
"ABIJDA ARREINDŽO ENOVS","VĪRIETIS",1
"ABIJITH","VĪRIETIS",2
"ABIJITH BABY","VĪRIETIS",1
"ABIJITH BIJU","VĪRIETIS",1
"ABIJITH GUNASEKARAN BHARATH","VĪRIETIS",1
"ABIKS","VĪRIETIS",2
"ABIL","VĪRIETIS",3
"ABILASH","VĪRIETIS",1
"ABILENE","SIEVIETE",1
"ABILIN","SIEVIETE",1
"ABILKHAN","VĪRIETIS",1
"ABIN","VĪRIETIS",9
"ABIN BENNIT","VĪRIETIS",1
"ABIN HASHIKATH","VĪRIETIS",1
"ABIN JOSEPH","VĪRIETIS",1
"ABIN RAJ","VĪRIETIS",1
"ABIN THOMAS","VĪRIETIS",1
"ABINA","SIEVIETE",1
"ABINASH","VĪRIETIS",1
"ABINAV","VĪRIETIS",1
"ABIODUN SAMUEL","VĪRIETIS",1
"ABIOSE SONTE","SIEVIETE",1
"ABIRU MANODYA JAYAKODY","VĪRIETIS",1
"ABISHEK","VĪRIETIS",3
"ABITA","SIEVIETE",1
"ABLAIKHAN","VĪRIETIS",1
"ABO","VĪRIETIS",2
"ABOUBACAR SIDY","VĪRIETIS",1
"ABOUBAKR HUSSEIN KAFAFY HASSAN","VĪRIETIS",1
"ABRAHAM","VĪRIETIS",2
"ABRAHAM ANASERE OLAYEMI","VĪRIETIS",1
"ABRAHAM EDET","VĪRIETIS",1
"ABRAHAM FULLER","VĪRIETIS",1
"ABRAHAM TERO","VĪRIETIS",1
"ABRAHAMS","VĪRIETIS",6
"ABRAHAMS KŪPERS","VĪRIETIS",1
"ABRAHAMS PĀVELS","VĪRIETIS",1
"ABRAMS","VĪRIETIS",17
"ABRAMS EĻJA","VĪRIETIS",1
"ABRAR","VĪRIETIS",3
"ABREKS","VĪRIETIS",1
"ABRHALEY","VĪRIETIS",2
"ABRIANA","SIEVIETE",1
"ABRIN","VĪRIETIS",1
"ABROR","VĪRIETIS",11
"ABRORBEK","VĪRIETIS",13
"ABRORJON","VĪRIETIS",3
"ABROSIMS","VĪRIETIS",1
"ABRĀMS","VĪRIETIS",2
"ABRĀU","VĪRIETIS",1
"ABSAKINE IDRISS","VĪRIETIS",1
"ABSAL","VĪRIETIS",1
"ABSALOM","VĪRIETIS",1
"ABTUL AZIZ","VĪRIETIS",1
"ABU","VĪRIETIS",1
"ABU AMASH","VĪRIETIS",1
"ABU BAKARS","VĪRIETIS",1
"ABU BAKRS FAISALS","VĪRIETIS",1
"ABU DAVŪDS","VĪRIETIS",1
"ABU SAĪDS","VĪRIETIS",1
